G/L 계정,name,대분류,중분류,설명,직접/영업,,,,,
55210195,假货采买服务费,지급수수료,위조상품 구매 서비스비,,,,,,,
55210196,其他咨询服务费,지급수수료,기타 자문 서비스비,,,,,,,
55210197,招聘服务费,지급수수료,채용 서비스비,,,,,,,
55210198,直营门店服务费-INT,지급수수료,직영매장 서비스비-INT,,,,,,,
55210199,直营门店服务费-IT,지급수수료,직영매장 서비스비-IT,,,,,,,
55210200,直营门店服务费-Others,지급수수료,직영매장 서비스비-기타,,,,,,,
55210201,线上门店服务费,지급수수료,온라인매장 서비스비,,,,,,,
55210202,数据运营服务费,지급수수료,데이터 운영 서비스비,,,,,,,
55210203,VAS服务费,지급수수료,부가가치 서비스비,,,,,,,
55170135,MKT宣传费-APP,광고비,APP,,영업,,,,,
55170136,MKT宣传费-ACC,광고비,ACC,,영업,,,,,
55170137,MKT宣传费-Branding,광고비,브랜딩,,영업,,,,,
55170138,MKT宣传费-Retailing,광고비,리테일,,영업,,,,,
55170139,MKT宣传费-Campaign,광고비,캠페인,,영업,,,,,
55170140,MKT宣传费-others,광고비,기타,,영업,,,,,
96030103,임차료(조정),임차료,조정,chessi,,55230105,지급임차료_리스부채상환,임차료,임차료(리스),리스
96030101,销售费_销售手续费,임차료,임차료조정,회계팀,,,,,,
96030105,플랫폼수수료 조정,플랫폼수수료,플랫폼수수료,조정,직접,,,,,
