sap code,sap name(CN),sap name(KR),pkg code,pkg name(EN),pkg name(KO),연결계정과목,관리,재무
55270119,装修费_Renovation costs,감가상각비_인테리어,512400,Depreciation,감가상각비,감가상각비,사용,사용
55310105,资产减值损失_存货,资产减值损失冲销_存货,420100,Cost of sales-merchandise,매출원가,기타,사용,사용
55330101,保险费,보험료,511300,Insurance,보험료,기타,사용,사용
55330103,残保金,장애인보험료,510600,Other employee benefits ,복리후생비,기타,사용,사용
55210122,劳务费,노무비,512300,Commissions ,지급수수료,수수료,사용,사용
55030119,海外差旅费,여비교통비_해외출장비,510700,Travel ,여비교통비,기타,사용,사용
55170129,广告费-京准通投放,광고선전비_경준통 투입,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170131,广告费-京挑客,광고선전비_쿄토쿠,511500,Advertising ,광고선전비,광고선전비,사용,사용
55210161,手续费-京东,지급수수료_JD,512300,Commissions ,지급수수료,수수료,사용,사용
55210163,手续费-京东-扣点佣金,지급수수료_JD 수수료 공제,512300,Commissions ,지급수수료,수수료,사용,사용
55210165,手续费-京东-交易服务费,지급수수료_JD 거래서비스요금,512300,Commissions ,지급수수료,수수료,사용,사용
55210167,手续费-京东-京豆,지급수수료_JD 징또우,512300,Commissions ,지급수수료,수수료,사용,사용
55210169,手续费-京东-保险承保,지급수수료_JD 보험인수,512300,Commissions ,지급수수료,수수료,사용,사용
55170133,广告费-抖音-巨量千川,광고선전비_틱톡_마이크로폰,511500,Advertising ,광고선전비,광고선전비,사용,사용
55210177,手续费-抖音,지급수수료_틱톡,512300,Commissions ,지급수수료,수수료,사용,사용
55210179,手续费-抖音-扣点佣金,지급수수료_수수료공제_틱톡,512300,Commissions ,지급수수료,수수료,사용,사용
55210185,手续费-抖音-保险承保,지급수수료_틱톡_보험인수,512300,Commissions ,지급수수료,수수료,사용,사용
55210189,手续费-抖音-扣款,지급수수료_틱톡 공제,512300,Commissions ,지급수수료,수수료,사용,사용
55210181,手续费-抖音-达播佣金,지급수수료_达播佣金,512300,Commissions ,지급수수료,수수료,사용,사용
55010115,餐费,복리후생비_식대,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010116,体检费,복리후생비_건강검진비,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010117,行政餐费福利,복리후생비_행정식대복지,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010118,节假日福利,복리후생비_명절복지,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010119,Outing,복리후생비_야외활동,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010120,周年福利,복리후생비_근속(기념일) 복지,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010121,其他福利,복리후생비_기타복지,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010123,部门TB福利,복리후생비_부서 TB 복지,510600,Other employee benefits ,복리후생비,기타,사용,사용
55170135,MKT宣传费-APP,마케팅홍보비_APP,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170136,MKT宣传费-ACC,마케팅 홍보비-ACC,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170137,MKT宣传费-Branding,마케팅 홍보비-브랜딩,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170138,MKT宣传费-Retailing,마케팅 홍보비-리테일링,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170139,MKT宣传费-Campaign,마케팅 홍보비-캠페인,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170140,MKT宣传费-others,마케팅 홍보비-기타,511500,Advertising ,광고선전비,광고선전비,사용,사용
55210190,年度维护服务费,지급수수료_연간유지보수서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210191,新开发服务费,지급수수료_신규개발서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210192,AI相关服务费,지급수수료_AI 관련 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210193,审计服务费,지급수수료_감사서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210195,假货采买服务费,지급수수료_위조상품 구매 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210196,其他咨询服务费,지급수수료_기타 자문 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210197,招聘服务费,지급수수료_채용 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210198,直营门店服务费-INT,지급수수료_직영매장 서비스비-INT,512300,Commissions ,지급수수료,수수료,사용,사용
55210199,直营门店服务费-IT,지급수수료_직영매장 서비스비-IT,512300,Commissions ,지급수수료,수수료,사용,사용
55210200,直营门店服务费-Others,지급수수료_직영매장 서비스비-기타,512300,Commissions ,지급수수료,수수료,사용,사용
55210201,线上门店服务费,지급수수료_온라인매장 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210202,数据运营服务费,지급수수료_데이터 운영 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210203,VAS服务费,지급수수료_부가가치 서비스비,512300,Commissions ,지급수수료,수수료,사용,사용
55210194,法律咨询费,지급수수료_법률자문비,512300,Commissions ,지급수수료,수수료,사용,사용
55010122,公司大型团建福利,복리후생비_회사 대규모 단합(워크숍) 복지,510600,Other employee benefits ,복리후생비,기타,사용,사용
55290101,坏账准备_Bad debt expense,대손상각비,512600,Bad debt expenses,대손상각비,기타,사용,사용
96030101,,관리회계_판매수수료,,,,,사용,X
96030103,,임차료(조정),,,,,사용,X
96030105,,플랫폼수수료(조정),,,,,사용,X
,,,513300,Depreciation(Right-of-use asset,감가상각비(사용권자산),감가상각비,,사용
61350101,잡이익_보조금,,512300,Commissions ,지급수수료,수수료,,사용
62010101,금융비용_수수료,,512300,Commissions ,지급수수료,수수료,,사용
